idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	type	ISBN	status	counter	read	Bemerkungen	protagonists	narration	setting-type	setting-place	setting-time	translator(s)	title-original	publ-original	Startkorpus	Duplikat prüfen	scifi	sentimental	policier	blanche
Cross_Mort	yes		Cross, Amanda	1	female	USA	Une mort si douce	1996	1998	1996	1990s	Rivages	Rivages/Mystère	policier	populaire	2-7436-0402-6	tei	1								Cheval, Catherine	Sweet Death, Kind Death	1983			no	no	yes	no
Cross_Smiley	yes		Cross, Amanda	1	female	USA	Sur les pas de Smiley	1997	1999	1997	1990s	Rivages	Rivages/Mystère	policier	populaire	2-7436-0564-2	tei	1								Faure-Geors, Corinne	An Imperfect Spy	1995			no	no	yes	no
Curval_Forteresse	no		Curval, Philippe	1	male	FRA	La forteresse de coton		1979	1979	1970s	Denoël	Présence du Futur	scifi	populaire	(unknown)	tei	1										1967			yes	no	no	no
Curval_Habite	no		Curval, Philippe	1	male	FRA	Habite-t-on réellement quelque part?		1989	1989	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30484-1	tei	1										(unknown)			yes	no	no	no
Curval_Jouer	no		Curval, Philippe	1	male	FRA	Comment jouer à l'homme invisible en trois lecons		1986	1986	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30420-5	tei	1										(unknown)			yes	no	no	no
Curval_Soupcon	no		Curval, Philippe	1	male	FRA	Un soupçon de néant		1977	1977	1970s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-00360-7	tei	1													yes	no	no	no
Daeninckx_Bourreau	no	rv1241	Daeninckx, Didier	1	male	FRA	Le Bourreau	1986		1986	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1		alle Kapitel zweimal vorhanden, enthalten aber verschiedenen Text											no	no	yes	no
Daeninckx_Chateau	no	rv1249	Daeninckx, Didier	1	male	FRA	Un Château en Bohême	1994		1994	1990s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Daeninckx_Der	no	rv1243	Daeninckx, Didier	1	male	FRA	Le Der Des Ders	1984		1984	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Daeninckx_Geant	no	rv1245	Daeninckx, Didier	1	male	FRA	Le Géant Inachevé	1984		1984	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Daeninckx_Mort	no	rv1017	Daeninckx, Didier	1	male	FRA	Mort au Premier Tour	1997		1997	1990s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1		in je einem <head>-tag Zahl und Kapitelüberschrift											no	no	yes	no
Daeninckx_Nazis	no	rv1018	Daeninckx, Didier	1	male	FRA	Nazis dans le Métro	1996		1996	1990s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Daeninckx_Oublie	no	rv1016	Daeninckx, Didier	1	male	FRA	La Mort n'oublie personne	1989		1989	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Daeninckx_Play	no	rv1248	Daeninckx, Didier	1	male	FRA	Play-Back	1986		1986	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Dailey_Belle			Dailey, Janet	1	female	GBR	La belle et le vaurien		1979	1979	1970s	Harlequin	(unknown)	sentimental	populaire	0-373-49078-X	tei	1													no	yes	no	no
Dailey_Flammes			Dailey, Janet	1	female	GBR	Flammes d'automne		1979	1979	1970s	Harlequin	(unknown)	sentimental	populaire	2-862-59082-7	tei	1													no	yes	no	no
Dailey_Ouragan			Dailey, Janet	1	female	GBR	L'Ouragan passera		1975	1975	1970s	Harlequin	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Dard_Concerto	no	rv1198	Dard, Frédéric	1	male	FRA	Concerto pour porte-jarretelles	1976		1976	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Dard_Essaye	no	rv1107	Dard, Frédéric	1	male	FRA	J'ai Essayé, on peut!	1973		1973	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Dard_Fais	no	rv1108	Dard, Frédéric	1	male	FRA	Fais-Moi des choses	1978		1978	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Dard_Moi	no	rv1103	Dard, Frédéric	1	male	FRA	Moi, Vous me Connaissez...?	1971		1971	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1		Teile und Kapitel											no	no	yes	no
Dard_Valsez	no	rv1190	Dard, Frédéric	1	male	FRA	Valsez, Pouffiasses	1989		1989	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Darmon_Baisse	no		Darmon, Paule	1	female	FRA	Baisse les yeux, Sarah		1980	1980	1980s	Grasset		blanche	blanche	2-246-00940-5	tei	1		Keine Kapitelüberschriften vorhanden											no	no	no	yes
Dartey_Cœur			Dartey, Léo	1	female	FRA	Cœurs en péril		1974	1974	1970s	Tallandier	Le Cercle Romanesque	sentimental		(unknown)	tei	1													no	yes	no	no
Davet_Promenade			Davet, Michel	1	female	FRA	La promenade des colombes		1977	1977	1970s	Tallandier	(unknown)	sentimental		(unknown)	tei	1													no	yes	no	no
Davet_Tentation			Davet, Michel	1	female	FRA	La tentation de Copenhague		1978	1978	1970s	Tallandier	(unknown)	sentimental		(unknown)	tei	1													no	yes	no	no
Davis_Pleuvait	yes		Davis, Maggie	1	female		Il pleuvait sur Griffin...		1990	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	2-280-85297-7	tei	1								(unknown)	Dreamboat				no	yes	no	no
Deff_Psychopompes	no		Deff, Red	1	male	FRA	Les psychopompes de Klash		1990	1990	1990s	Fleuve noir	Anticipation	scifi	populaire	2-265-04265-X	tei	1													yes	no	no	no
Delany_Tours	yes		Delany, Samuel R.	1	male	USA	Les tours de Toron		1989	1989	1980s	Presses Pocket	Science-Fantasy	scifi	populaire	2-266-03172-4	tei	1													yes	no	no	no
Deon_Bagages	no		Déon, Michel	1	male	FRA	Bagages pour Vancouver. Mes arches de Noé		1985	1985	1980s	Gallimard	Folio	blanche	blanche	2-07-037886-1	tei	1		Kapitel nicht erkannt											no	no	no	yes
Deon_Montee	no		Déon, Michel	1	male	FRA	La montée du soir		1987	1987	1980s	Gallimard		blanche	blanche	02-07-070984-1	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Derenne_Cylia	no		Derenne, Elisabeth	1	female		Cylia		1987	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	2-265-03616-1	tei	1	no	Kapitel nicht erkannt											no	yes	no	no
Didelot_Ombres	no		Didelot, Francis	1	male	FRA	Les ombres du parking		1980	1980	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1045-6	tei	1	no												no	no	yes	no
Didier_Entree	no		Didier, Christiane	1	female		Entrée interdite		1971	1971	1970s	Le Masque	Romans d'aventures	policier	populaire	(unknown)	tei	1													no	no	yes	no
Djian_Sotos	no		Djian, Philippe	1	male	FRA	Sotos		1995	1995	1990s	Gallimard	Collection Folio	blanche	populaire	2-07-039303-8	tei	1	no	Seitenzahlen wurden erkannt und in <head> getaggt											no	no	no	yes
Dufour_MarieMarraine			Dufour, Hortense	1	female	FRA	La Marie-Marraine		1978	1978	1970s	Grasset		blanche		978-2-246-05879-3	tei	1													no	no	no	yes
Dunyach_Voleurs	no		Dunyach, Jean-Claude	1	male	FRA	Voleurs de silence		1992	1992	1990s	Fleuve noir	Anticipation	scifi	populaire	2-265-04724-4	tei	1													yes	no	no	no
Duplouy_Chateau			Duplouy, Fernand	1	male	FRA	Un château pour Carol		1979	1979	1970s	Tallandier		sentimental		(unknown)	tei	1													no	yes	no	no
Duras_Amant	no	rv0215	Duras, Marguerite	1	female	FRA	L'Amant	1984		1984	1980s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Duras_Yeux	no	rv0216	Duras, Marguerite	1	female	FRA	Les Yeux Bleus Cheveux Noirs	1986		1986	1980s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Ebersohn_Nuit	yes		Ebersohn, Wessel	1	male	ZAF	La nuit divisée	1989	1993	1989	1980s	Rivages	Rivages/Noir	policier	populaire	2-86930-642-3	tei	1								Prouteau, Hélène	Divide the Night	1981			no	no	yes	no
Echenoz_Equipee	no	rv0122	Echenoz, Jean	1	male	FRA	L'Équipée	1986		1986	1980s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1		Teile und Kapitel											no	no	no	yes
Echenoz_Je	no	rv0121	Echenoz, Jean	1	male	FRA	Je m'en vais	1999		1999	1990s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Echenoz_Meridien	no	rv1234	Echenoz, Jean	1	male	FRA	Le Méridien de Greenwich	1979		1979	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Echenoz_Nous	no	rv0124	Echenoz, Jean	1	male	FRA	Nous Trois	1992		1992	1990s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Ellis_Mais	yes		Ellis, Patricia	1	female		Mais qui est donc M. Chandler?		1990	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	2-280-80456-5	tei	1								(unknown)	Sweet Protector	1989			no	yes	no	no
Ellroy_Clandestin	yes		Ellroy, James	1	male	USA	Clandestin	1988	1990	1988	1980s	Rivages	Rivages/Noir	policier	populaire	2-86930-206-1	tei	1								Michalski, Freddy	Clandestine	1982			no	no	yes	no
Ellroy_Part	yes		Ellroy, James	1	male	USA	Ma part d'ombre		1999	1999	1990s	Rivages	Rivages/Noir	policier	populaire	978-2-7436-0467-7	tei	1		Teile und Kapitel  Teile nicht erkannt						Michalski, Freddy	My Dark Places	1996			no	no	yes	no
Endrebe_Pire	no		Endrèbe, Maurice Bernard	1	male	FRA	La pire des choses		1984	1984	1980s	Le Masque	Roman d'aventures	policier	populaire	2-7024-1574-1	tei	1		Kapitel nicht durchgehend erkannt											no	no	yes	no
Estebe_Laureen	no		Estebe, Jean-Luc	1	male		Laureen		1987	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	2-265-03516-5	tei	1	no												no	yes	no	no
Exbrayat_Pantoufles	no		Exbrayat, Charles	1	male	FRA	Mets tes pantoufles, Roméo		1983	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1440-0	tei	1	no	Kapitel nicht erkannt											no	no	yes	no
Facon_Compagnons	no		Facon, Roger	1	male	FRA	Les compagnons de la lune blême		1992	1992	1990s	Fleuve noir	Anticipation	scifi	populaire	2-265-04773-2	tei	1													yes	no	no	no
Fair_Bousculez	yes		Fair, A. A. (Erle Stanley Gardner)	1	male	USA	Bousculez pas le magot		1984	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1542-3	tei	1								Benoit, Jean	Spill the jackpot				no	no	yes	no
Fajardie_Nuit	no		Fajardie, Frédéric H.	1	male	FRA	La nuit des Chats bottés		1993	1993	1990s	La Table Ronde	La petite vermillon	policier	populaire	2-7103-0552-6	tei	1		Kapitel nicht durchgehend erkannt											no	no	yes	no
Farmer_Homme	yes		Farmer, Philip José	1	male	USA	L'homme qui trahit la vie	1973	1981	1973	1970s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01051-4	tei	1								Garsault, Alain	Traitor to the Living				yes	no	no	no
Farmer_Odyssee	yes		Farmer, Philip José	1	male	USA	L'odyssée verth		1982	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01093-X	tei	1								Pugi, J.-P.	Green Odyssey	(unknown)			yes	no	no	no
Fasquelle_Chant	no		Fasquelle, Solange	1	female	FRA	Le chant des hérissons		1997	1997	1990s	Grasset		blanche	blanche	2-246-51861-X	tei	1													no	no	no	yes
Fast_Crime	yes		Fast, Julius	1	male	USA	Crime en blanc		1987	1987	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1783-3	tei	1								Averlant, Michel	The bright face of danger				no	no	yes	no
Fayard_Chasseurs	no		Fayard, Colette	1	female		Les chasseurs au bord de la nuit		1989	1989	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30487-6	tei	1													yes	no	no	no
Ferriere_Climat	no		Ferrière, Jean-Pierre	1	male		Un climat mortel		1983	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1488-5	tei	1													no	no	yes	no
Fischer_Medecin	yes		Fischer, Marie Louise	1	female	GER	Médecin des enfants		1973	1973	1970s	Presses de la Cité	(unknown)	sentimental		(unknown)	tei	1													no	yes	no	no
Forest_Disparue	yes		Forest, Regan	1	female	USA	La disparue de Rosewood		1989	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	2-280-85277-2	tei	1								(unknown)	When tomorrow comes				no	yes	no	no
Forsyth_Chacal	yes		Forsyth, Frederick	1	male	GBR	Chacal	1971	1974	1971	1970s	Gallimard	Folio	blanche		2-070-36569-7	tei	1													no	no	no	yes
Fraser_Fille	yes		Fraser, Alison	1	female		Fille de star		1990	1990	1990s	Harlequin	Hors Série	sentimental	populaire	2-280-11051-2	tei	1								(unknown)	A Lifetime and Beyond				no	yes	no	no
Fraser_Trefle	yes		Fraser, James	1	male	GBR	Le trèfle à cinq feuilles	1975	1975	1975	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire	2-7024-0440-5	tei	1													no	no	yes	no
Fremion_Reves	no		Frémion, Yves	1	male	FRA	Rêves de sable, châteaux de sang	1986	1986	1986	1980s	J'ai lu	Science-fiction	scifi	populaire	9782277220541	tei	1													yes	no	no	no
Gamble_Roman	yes		Gamble, M.L.	1	female	USA	Le Roman de Sarah Winesong		1989	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	9-78228-0832380	tei	1		Titelblatt herausgerissen  Dépôt légal : novembre 1989						(unknown)	(unknown)				no	yes	no	no
GarciaMarquez_Automne	yes		Marquez, Gabriel Garcia	1	male	COL	L'automne du patriarche	1975	1976	1975	1970s	Grasset	Le Livre de Poche	blanche		(unknown)	tei	1													no	no	no	yes
GardnerEvans_Ete	yes		Gardner Evans, Patricia	1	female		L'été du loup		1989	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	9-78228-0832410	tei	1		Titelblatt herausgerissen  Dépôt légal : décembre 1989						(unknown)	(unknown)				no	yes	no	no
Gary_Angoisse	no	rf	Gary, Romain	1	male	FRA	L'Angoisse du Roi Salomon	1979	2013	1979	1970s	Mercure de France		blanche	blanche		tei	1													no	no	no	yes
Gary_Cerfs	no	rf	Gary, Romain	1	male	FRA	Cerfs-Volants	1980	2013	1980	1980s	Gallimard		blanche	blanche		tei	1													no	no	no	yes
Gary_Chien	no	rf	Gary, Romain	1	male	FRA	Chien Blanc	1970	2013	1970	1970s	Gallimard		blanche	blanche		tei	1													no	no	no	yes
Gary_GrosCalin	no		Gary, Romain	1	male	FRA	Gros-câlin	1973	1973	1973	1970s	Mercure de France	Folio	blanche		(unknown)	tei	1													no	no	no	yes
Gary_Tetes	no	rf	Gary, Romain	1	male	FRA	Têtes de Stephanie	1974		1974	1970s	Gallimard		blanche	blanche		tei	1	yes												no	no	no	yes
Gascar_Regne	no		Gascar, Pierre	1	male		Le règne végétal		1981	1981	1980s	Gallimard		blanche	blanche	(unknown)	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Genefort_Croises	no		Genefort, Laurent	1	male	FRA	Les croisés du vide		1998	1998	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06466-1	tei	1													yes	no	no	no
Genefort_Engloutis	no		Genefort, Laurent	1	male	FRA	Les engloutis		1999	1999	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06698-2	tei	1													yes	no	no	no
Genefort_Gueule	no		Genefort, Laurent	1	male	FRA	Dans la gueule du dragon		1998	1998	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06553-6	tei	1													yes	no	no	no
Genefort_Sang	no		Genefort, Laurent	1	male	FRA	Le sang des immortels		1997	1997	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06245-6	tei	1													yes	no	no	no
Genevoix_Jour			Genevoix, Maurice	1	male	FRA	Un jour	1976	1976	1976	1970s	Plon	Rentrée Littéraire	blanche		978-2-259-30723-9	tei	1													no	no	no	yes
Genevoix_Motte			Genevoix, Maurice	1	male	FRA	La motte rouge		1979	1979	1970s	France Loisirs	(unknown)	blanche		2-7242-0666-5	tei	1													no	no	no	yes
Germain_Eclats	no		Germain, Sylvie	1	female		Éclats de sel		1996	1996	1990s	Gallimard	Collection Blanche	blanche	blanche	2-07-074260-8	tei	1													no	no	no	yes
Germain_Immensites	no		Germain, Sylvie	1	female		Immensités		1993	1993	1990s	Gallimard	Collection Blanche	blanche	blanche	2-07-073643-1	tei	1													no	no	no	yes
Gibson_Iboru	yes		Gibson, William	1	male	USA	Idoru	1998	1999	1998	1990s	J'ai lu	Science-fiction	scifi	populaire	2-290-05346-5	tei	1													yes	no	no	no
Gibson_Neuromancien	yes		Gibson, William	1	male	USA	Neuromancien	1985	1988	1985	1980s	J'ai lu	Science-fiction	scifi	populaire	9782277223252	tei	1													yes	no	no	no
Gide_Faux	no		Gide, André	1	male		Les faux-monnayeurs		1987	1987	1980s	Gallimard	Collection Folio	blanche	blanche	2-07-036879-3	tei	1	yes												no	no	no	yes
Gilliland_Objectif	yes		Gilliland, Alexis A.	1	male	USA	Objectif: Rossinante	1985	1985	1985	1980s	J'ai lu	Science-fiction	scifi	populaire	2-277-21826-X	tei	1													yes	no	no	no
Giroud_Deux	no		Giroud, Françoise	1	female		Deux et deux font trois		1998	1998	1990s	Grasset		blanche	blanche	2-246-56141-8	tei	1		Kapitel nicht erkannt											no	no	no	yes
Giuducelli_Station	no		Giuducelli, Christian	1	male		Station balnéaire		1986	1986	1980s	Gallimard	Collection Blanche	blanche	blanche	2-07-070780-6	tei	1		Kapitelüberschriften nicht erkannt											no	no	no	yes
Gladstone_Kelly	yes		Gladstone, Eve	1	female		Kelly ou la vraie vie		1992	1992	1990s	Harlequin	Collection Or	sentimental	populaire	2-280-07381-1	tei	1	no												no	yes	no	no
Glenn_Amour	yes		Glenn, Victoria	1	female		Un amour de jeunesse		1990	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	978-2-28-080448-6	tei	1		Titelblatt fehlt  Dépôt légal : février 1990											no	yes	no	no
Goldrick_Fugue	yes		Goldrick, Emma	1	female		Fugue dans les Caraïbes		1989	1989	1980s	Harlequin	Azur	sentimental	populaire	2-280-00636-7	tei	1	no	Kapitel nicht erkannt											no	yes	no	no
Grafteaux_Meme	no		Grafteaux, Serge	1	male		Mémé Santerre	1975	1987	1975	1970s	Marabout	(unknown)	blanche		(unknown)	tei	1													no	no	no	yes
Graham_Diable	yes		Graham, Elizabeth	1	female		Un diable d'ange gardien		1980	1980	1970s	Harlequin	(unknown)	sentimental		0-373-49101-8	tei	1													no	yes	no	no
Gray_Role	yes		Gray, Kerrie	1	female		Le rôle de ma vie		1990	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	978-2-28-080450-9	tei	1		Titelblatt fehlt  Dépôt légal : mars 1990											no	yes	no	no
Guegan_Pere	no		Guégan, Gérard	1	male		Pére et Fils		1977	1977	1970s	Grasset		blanche	blanche	2-246-00515-9	tei	1													no	no	no	yes
Guibert_Piano	no		Guibert, Michel	1	male		Piano nobile		1981	1981	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1211-4	tei	1	no	Kapitel nicht erkannt											no	no	yes	no
Guillaume_MariaTeresa			Guillaume, Jean-Marie	1	female		Maria Teresa		1970	1970	1970s	Christian Bourgois	(unknown)	blanche		(unknown)	tei	1													no	no	no	yes
GuillemonatBancal_Jamais	yes		Guillemonat, Jean / Bancal, Jean	2	male		Jamais à l'heure même pour mourir		1974	1974	1970s	Le Masque	Romans d'aventures	policier	populaire	(unknown)	tei	1								Tardieu, Charles	Death of a white witch				no	no	yes	no
Guyon_Voyage	no		Guyon, Marc	1	male		Le voyage transparent		1994	1994	1990s	Gallimard		blanche	blanche	02-07-073975-9	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Halter_Mystere	no		Halter, Paul	1	male		Le Mystère de l'allée des Anges		1999	1999	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2963-7	tei	1		Kapitel nicht durchgehend erkannt											no	no	yes	no
Hambly_Murs	yes		Hambly, Barbara	1	female	USA	Les murs des Ténèbres	1998	1998	1998	1990s	Le Masque	Abysses	scifi	populaire	9782702496251	tei	1													yes	no	no	no
Hamilton_Oeil	yes		Hamilton, Lucy	1	female		Dans l'œil du typhon		1989	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	2-280-83243-7	tei	1		Kapitel nicht durchgehend erkannt						(unknown)	The Real Thing				no	yes	no	no
Hansen_Mort	yes		Hansen, Joseph	1	male		Par qui la mort arrive		1986	1986	1980s	Rivages	Rivages/Noir	policier	populaire	2-86930-001-8	tei	1								Watkins, France-Marie	Trouble Maker	1975			no	no	yes	no
Harper_Brumes	yes		Harper, Madeline	1	female		Les brumes de la rivière		1990	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	2-280-85294-2	tei	1		Kapitel nicht erkannt						(unknown)	This Time Forever				no	yes	no	no
Harper_Hors	yes		Harper, Madeline	1	female		Les hors-la-loi		1997	1997	1990s	Harlequin	Suspense	policier	populaire	2-280-16691-7	tei	1													no	no	yes	no
Hawthorne_Carre	yes		Hawthorne, Alaina	1	female		Un carré de ciel bleu		1990	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	2-280-80460-3	tei	1								Dermanian, Ch.	Out of the Blue				no	yes	no	no
Heinlein_Age	yes		Heinlein, Robert A.	1	male	USA	L'âge des étoiles		1981	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01062-X	tei	1								Bouboulis, Hélène	Time for the stars	1956			yes	no	no	no
Heinlein_Route	yes		Heinlein, Robert A.	1	male	USA	Route de la gloire		1982	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01194-4	tei	1								Haas, Dominique	Glory road	1963			yes	no	no	no
Heinlein_Vagabond	yes		Heinlein, Robert	1	male	USA	Le vagabond de l'espace		1983	1983	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01226-6	tei	1								Deutsch, Michel	Have space suit, will travel	1958			yes	no	no	no
Henneberg_Anges	no		Henneberg, Nathalie Ch.	1	female	FRA	Les anges de la colère		1978	1978	1970s	Le Masque	Science fiction	scifi	populaire	2-7024-0710-2	tei	1		Sammlung von Kurzgeschichten											yes	no	no	no
HermaryVieille_Grand	no		Hermary-Vieille, Catherine	1	female		Le grand vizir de la nuit		1981	1981	1980s	Gallimard	Folio	blanche	blanche	2-07-037448-3	tei	1		letzte Seite fehlt											no	no	no	yes
HermaryVieille_Marquise	no		Hermary-Vieille, Catherine	1	female		La Marquise des Ombres		1983	1983	1980s	Denoël	Folio	blanche	blanche	2-07-037655-9	tei	1													no	no	no	yes
Hocquenghem_Fin	no		Hocquenghem, Guy	1	male	FRA	Fin de section		1975	1975	1970s	Christian Bourgois	(unknown)	blanche		2-267-00002-4	tei	1													no	no	no	yes
Homeric_Loup	no		Homeric (Frédéric Dion)	1	male	FRA	Le loup mongol		1998	1998	1990s	Grasset		blanche	blanche	2-246-49351-X	tei	1													no	no	no	yes
Hooper_Kelsey	yes		Hooper, Kay	1	female		Kelsey aux cent visages		1989	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-02729-2	tei	1	no	Kapitel nicht erkannt											no	yes	no	no
Houssin_Argentine	no		Houssin, Joël	1	male		Argentine		1989	1989	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30486-8	tei	1													yes	no	no	no
Houssin_Temps	no		Houssin, Joël	1	male	FRA	Le temps du twist		1990	1990	1990s	Denoël	Présence du Futur	scifi	populaire	2-207-30512-0	tei	1		nicht alle Kapitel erkannt											yes	no	no	no
Howard_Montagne	yes		Howard, Linda	1	female		La montagne des Mackenzie		1989	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	9-78228-0832427	tei	1		Titelblatt herausgerissen  Dépôt légal : décembre 1989  Kapitel nicht durchgehend erkannt						(unknown)	(unknown)				no	yes	no	no
Howe_Attirance	yes		Howe, Imogen	1	female		Attirance		1985	1985	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	2-01-009582-0	tei	1		Kapitel nicht erkannt						Rouard, Philippe	Fatal Attraction				no	yes	no	no
Hubert_Mort	no		Hubert, Jean-Pierre	1	male	FRA	Je suis la Mort		1998	1998	1990s	Fleuve noir	SF métal	scifi	populaire	2-265-06510-2	tei	1													yes	no	no	no
Hutchinson_Hier	yes		Hutchinson, Bobby	1	male		Hier, la passion d'aimer		1990	1990	1990s	Harlequin	Collection Or	sentimental	populaire	2-280-07317-X	tei	1													no	yes	no	no
Hyvrard_Mere	no		Hyvrard, Jeanne	1	female	FRA	Mère la mort		1976	1976	1970s	Les Éditions de Minuit	(unknown)	blanche		2-7073-0098-5	tei	1													no	no	no	yes
Irish_Irish	yes		Irish, William	1	male	USA	Irish Trophy		1972	1972	1970s	Christian Bourgois	(unknown)	blanche		2-7242-0348-8	tei	1													no	no	no	yes
JamesA_Safari	yes		James, Anna	1	female		Safari à Marakunda		1988	1988	1980s	Harlequin	(unknown)	sentimental	populaire	2-280-11040-7	tei	1	no												no	yes	no	no
JamesB_Pic	yes		James, B. J.	1	male		Le pic des ombres		1985	1985	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-01794-7	tei	1													no	yes	no	no
Janson_Or	yes		Janson, Marten	1		SWE	L'or du dragon	1976	1976	1976	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire	2-7024-0575-4	tei	1													no	no	yes	no
Jantz_Noces	yes		Jantz, Caroline	1	female		Les noces de Gwendoline	1988	1990	1988	1980s	Harlequin	Hors Série	sentimental	populaire	2-280-11053-9	tei	1								(unknown)	Separate Lives				no	yes	no	no
Japp_Bostonienne	no		Japp, Andrea H.	1	female		La bostonienne		1991	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2134-2	tei	1													no	no	yes	no
Japp_Chante	no		Japp, Andrea H.	1	female		Elle qui chante quand la mort vient		1993	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2323-X	tei	1													no	no	yes	no
Japp_Femelle	no		Japp, Andrea H.	1	female		La femelle de l'espèce		1996	1996	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2513-8	tei	1													no	no	yes	no
Japp_Petite	no		Japp, Andrea Philip	1	female		Le petite au chien jaune		1993	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2418-X	tei	1													no	no	yes	no
Japrisot_Course	no	rv1033	Japrisot, Sébastien	1	male	FRA	La Course du Lièvre à travers les champs	1972		1972	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Japrisot_Ete	no	rv1032	Japrisot, Sébastien	1	male	FRA	L'Été Meurtrier	1977		1977	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Japrisot_Passion	no		Japrisot, Sébastian	1	male		La passion des femmes		1986	1986	1980s	Gallimard	Folio	blanche	blanche	2-07-038034-3	tei	1		Bei manchen Seiten ist der Text am Rand leicht abgeschnitten  Kapitel nicht erkannt											no	no	no	yes
Jardin_Bille	no		Jardin, Alexandre	1	male	FRA	Bille en tête		1994	1994	1990s	Gallimard	Folio	blanche	blanche	2-07-037919-1	tei	1													no	no	no	yes
